"code","Phylum","Genus","filename","Replicate","Di_2,3_diaminopropionic acid_14073","Tri_2,3_diaminopropionic acid_14940","Di_ornithine_15391","Tri_ornithine_17210","Tri_histidine_17315","Tri_2,3_diaminopropionic acid_17863","Tri_2,3_diaminopropionic acid_17869","Di_ornithine_17963","Tri_arginine_18281","Tri_2,3_diaminopropionic acid_18373","Tri_proline_M+NH4_18411","Tri_putrescine_18433","Tri_cystine_19329","Tri_cadaverine_19586","3a,7a,12k_alanine_20366","Tri_glutamine_22099","Di_citrulline_22104","Tri_citrulline_22220","Tri_phenylalanine_22512","Di_ornithine_22619","Di_phenylalanine_22687","Tri_serine_23158","3a,7a,12k_lysine_23168","3k12a_lysine_23849","Tri_GABA_M+H2O_23885","3a7k_citrulline_24966","Di_lysine_25070","Di_ornithine_25325","3a7k_threonine_27078","Di_alanine_27176","3k7a_glutamine_29953","Di_glutamine_30065","Di_glutamine_30067","Di_glutamine_31254","Di_citrulline_31270","Mono_ornithine_31596","Mono_lysine_32192","Tri_dopamine_32195","Di_serine_32622","Di_threonine_33288","Mono_ornithine_33494","Tri_methionine_33885","Di_dopamine_34015","Di_unconjugated_34634","Di_methionine_34896","Tri_2_aminophenol_35037","Di_alanine_35826","Tri_3_methoxytyramine_36008","Di_3_methoxytyramine_37128","Di_3_methoxytyramine_37165","Di_dopamine_38088","Tri_tryptamine_38723","Mono_tyramine_38979","Di_3_methoxytyramine_39396","Mono_methionine_41397","Mono_phenylalanine_41412","Mono_serotonin_42743","Tri_glyglycine_20401"
"A0A0F5JPH2","Bacteroidota","Parabacteroides","P1_H5_cluster213_A0A0F5JPH2_rep3","rep3",68465.086,0,0,0,0,0,0,17368.06,0,648403.06,0,0,0,0,287695.2,0,0,0,0,0,0,0,0,0,0,0,0,7367.92,0,30468.406,0,0,0,0,0,0,0,1401.369,0,0,31897.277,0,14176.91,34486.74,0,106704.29,119705.39,0,191399.02,15783.398,5300.392,0,0,0,0,0,34802.73,0
"A0A0F5JPH2","Bacteroidota","Parabacteroides","P1_H5_cluster213_A0A0F5JPH2_rep2","rep2",0,0,0,0,0,0,0,0,0,251.5766,0,0,0,0,177.1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0F5JPH2","Bacteroidota","Parabacteroides","P1_H5_cluster213_A0A0F5JPH2","rep1",81463.12,0,0,0,0,0,0,15279.867,0,657780.3,0,0,0,0,392771.47,0,0,0,0,0,1530.833,0,0,0,0,0,0,11440.122,0,50774.168,0,0,0,0,0,0,0,0,0,0,35201.668,0,27811.516,59099.56,0,153487.16,132168.4,0,171928.62,18730.22,8809.75,0,0,0,0,0,36839.375,0
"A0A0G8G768","Bacillota","Ligilactobacillus","P1_G4_cluster149_A0A0G8G768","rep1",0,3223.894,0,0,0,0,42888.05,34371.625,25247.955,246528.22,0,0,6113.281,0,98161.46,0,20892.975,4271.805,19887.365,17733.83,63149.48,4286.818,86440.945,28333.338,37530.605,22227.531,155335.89,77051.77,81154.66,0,8510.369,3461.614,18340.543,167349.12,120439.266,46901.957,113773.7,0,433167.72,10546.868,0,66049.74,0,0,46043.89,36393.75,108552.71,0,0,0,0,0,57446.945,0,74990.336,138785.58,9848.796,0
"A0A0G8G768","Bacillota","Ligilactobacillus","P1_G4_cluster149_A0A0G8G768_rep3","rep3",0,0,0,0,0,0,13752.055,33177.152,15250.514,253524.81,0,0,0,0,69792.89,3670.4873,13239.787,0,3447.3032,10632.389,61260.113,0,79930,19412.936,37496.75,21312.55,53262.207,60250.445,56047.99,0,0,2018.3794,8317.489,133567.97,98186.945,18746.848,110644,0,458220.25,7820.472,520.8184,60133.98,0,0,46765.043,20716.012,105686.13,0,0,0,0,0,0,0,109587.766,165610.64,16841.285,0
"A0A0G8G768","Bacillota","Ligilactobacillus","P1_G4_cluster149_A0A0G8G768_rep2","rep2",0,0,0,0,0,0,0,0,0,362.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0M6WH75","Bacillota","Roseburia","P1_G6_cluster256_A0A0M6WH75_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0M6WH75","Bacillota","Roseburia","P1_G6_cluster256_A0A0M6WH75","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0M6WH75","Bacillota","Roseburia","P1_G6_cluster256_A0A0M6WH75_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0M6WMX1","Bacillota","Roseburia","P1_G3_cluster98_A0A0M6WMX1_rep3","rep3",0,0,0,0,0,0,19061.164,0,0,273868.9,0,0,0,0,332469.6,0,0,0,0,0,0,3059.919,106553.59,0,83042.42,0,0,1914.9419,63440.29,0,0,0,0,0,4336.356,0,0,0,54798.293,3033.3462,502.6708,60387.55,0,97023.34,0,20969.771,175514.61,0,0,0,0,0,0,0,12054.168,44136.562,0,42182.242
"A0A0M6WMX1","Bacillota","Roseburia","P1_G3_cluster98_A0A0M6WMX1_rep2","rep2",0,0,0,0,0,0,27091.441,0,0,249740.78,0,0,0,0,610391.4,0,0,0,5834.4624,0,8469.25,5978.3325,154871.58,0,110627.91,635.2401,444.4021,5939.9473,91744.18,2337.4219,0,0,2254.662,11180.672,5521.956,0,0,0,109856.16,7196.7983,687.0237,78719.55,0,108078.945,0,52944.13,108834.01,0,0,0,0,0,60793.984,0,21484.098,48357.43,0,81877.68
"A0A0M6WMX1","Bacillota","Roseburia","P1_G3_cluster98_A0A0M6WMX1","rep1",0,3517.1694,0,0,0,0,31244.648,0,0,255431.34,0,0,0,0,481858.38,0,0,0,16676.04,0,8170.8193,8209.954,128060.19,0,88903.016,0,0,4550.9443,70950.74,0,966.1973,0,3101.9185,6014.468,12198.032,0,0,0,144057.69,7472.32,0,69123.31,0,129192.11,0,66496.42,191325.31,0,0,0,0,0,37686.484,0,12191.965,70849.305,0,89200.29
"A0A0M6WSM3","Bacillota","Agathobacter","P1_F2_cluster40_A0A0M6WSM3_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0M6WSM3","Bacillota","Agathobacter","P1_F2_cluster40_A0A0M6WSM3","rep1",0,44732.57,0,0,0,0,42708.934,0,0,570215.56,0,0,0,0,953333.3,0,0,0,3096.0186,0,6232.192,11865.912,180877.1,0,256768.27,0,2254.8867,4591.87,106168.77,15520.018,0,0,6661.5317,0,1476.9509,0,0,0,11670.596,8799.878,897.8932,44720.062,0,269541.03,2976.6035,169806.78,231673.95,0,2842.1196,0,0,0,65302.266,0,7290.9854,10662.66,6548.824,168041.31
"A0A0M6WSM3","Bacillota","Agathobacter","P1_F2_cluster40_A0A0M6WSM3_rep3","rep3",0,42050.457,0,0,0,0,34986.27,0,0,688915.4,0,0,0,0,678856.94,0,0,0,0,0,0,13824.809,148704.84,0,251115.48,0,3284.335,0,68632.3,3593.121,0,0,5613.476,0,0,0,0,0,11987.912,5297.646,0,41685.008,0,279234.62,0,103163.71,187786.92,0,0,0,0,0,51851.734,5838.324,11784.07,0,5642.908,117913.41
"A0A0P0FKS2","Bacteroidota","Bacteroides","P1_A2_cluster21_A0A0P0FKS2_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0P0FKS2","Bacteroidota","Bacteroides","P1_A2_cluster21_A0A0P0FKS2_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0P0FKS2","Bacteroidota","Bacteroides","P1_A2_cluster21_A0A0P0FKS2","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0P0LK75","Bacteroidota","Phocaeicola","P1_A1_cluster4_A0A0P0LK75_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0P0LK75","Bacteroidota","Phocaeicola","P1_A1_cluster4_A0A0P0LK75","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0P0LK75","Bacteroidota","Phocaeicola","P1_A1_cluster4_A0A0P0LK75_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0S2W269","Bacillota","Intestinimonas","P1_H10_cluster525_A0A0S2W269_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0S2W269","Bacillota","Intestinimonas","P1_H10_cluster525_A0A0S2W269_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0S2W269","Bacillota","Intestinimonas","P1_H10_cluster525_A0A0S2W269","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2436.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A173ZD58","Bacillota","Hungatella","P1_C12_cluster634_A0A173ZD58","rep1",0,0,0,0,0,0,0,0,0,4158.9185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9352.295,0,0,0,0,0,0,0,0,0,0,0,0,0,7092.544,0,1879.9661,548.4804,19042.846,0,0,6458.492,0,0,68843.45,0,0,0,0,0,0,0,3646.9353,0
"A0A173ZD58","Bacillota","Hungatella","P1_C12_cluster634_A0A173ZD58_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A173ZD58","Bacillota","Hungatella","P1_C12_cluster634_A0A173ZD58_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A174CW35","Bacteroidota","Parabacteroides","P1_F1_cluster11_A0A174CW35_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A174CW35","Bacteroidota","Parabacteroides","P1_F1_cluster11_A0A174CW35","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A174CW35","Bacteroidota","Parabacteroides","P1_F1_cluster11_A0A174CW35_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9971.796
"A0A174DZA2","Bacillota","Fusicatenibacter","P1_C3_cluster64_A0A174DZA2","rep1",0,0,0,0,0,0,0,0,0,43222.867,0,0,0,0,31893.06,0,0,0,0,0,1668.6139,0,13058.075,0,99580.39,0,0,0,16805.342,0,0,0,0,0,0,0,0,0,52673.09,0,875.7849,4450.683,0,0,0,29681.2,9671.639,0,0,0,0,0,20273.793,0,1967.7306,0,0,0
"A0A174DZA2","Bacillota","Fusicatenibacter","P1_C3_cluster64_A0A174DZA2_rep3","rep3",0,0,0,0,0,0,0,0,0,64488.242,0,0,0,0,26263.941,0,0,0,0,0,0,0,12237.927,0,89780.4,0,0,0,2492.433,0,0,0,0,0,0,0,0,0,36363.582,0,0,3378.9985,0,0,0,9155.166,4870.0205,0,0,0,0,0,21004.184,0,0,0,0,0
"A0A174DZA2","Bacillota","Fusicatenibacter","P1_C3_cluster64_A0A174DZA2_rep2","rep2",0,0,0,0,0,0,0,0,0,66278.67,0,0,0,0,111923.03,0,0,0,0,0,0,0,14126.987,0,112413.34,0,0,0,18963.184,0,0,0,0,0,0,0,0,0,56824.242,0,1080.496,4174.129,0,0,0,31534.469,9528.25,0,0,0,0,0,28485.596,0,0,0,0,0
"A0A174MBD8","Bacillota","Lachnoclostridium","P1_G5_cluster206_A0A174MBD8_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A174MBD8","Bacillota","Lachnoclostridium","P1_G5_cluster206_A0A174MBD8","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A174MBD8","Bacillota","Lachnoclostridium","P1_G5_cluster206_A0A174MBD8_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A174YG41","Bacillota","Lachnospira","P1_A9_cluster388_A0A174YG41","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A174YG41","Bacillota","Lachnospira","P1_A9_cluster388_A0A174YG41_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A174YG41","Bacillota","Lachnospira","P1_A9_cluster388_A0A174YG41_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A174Z2R4","Bacillota","Lachnospira","P1_A5_cluster169_A0A174Z2R4_rep3","rep3",0,1370.9657,1217.959,0,3595.5386,809.8695,15537.276,1217.959,2645.8347,265707.56,0,0,0,0,104811.93,1111.9636,3931.5918,1625.2107,5583.9336,0,24411.473,0,24802.217,0,13255.87,0,2157.5813,0,17838.178,1094.6636,124.9226,139.4159,3291.4702,702.2328,4656.235,0,0,0,1457.325,80.9939,0,10515.508,197.0747,0,15218.113,6685.524,52446.95,568.353,1116.951,0,0,0,1069.3992,1107.3323,522.8463,711.2452,0,121210.62
"A0A174Z2R4","Bacillota","Lachnospira","P1_A5_cluster169_A0A174Z2R4_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
