Tree node ID,Tree node label,Color,Label,SP_length,,,,,
Francisella_A0A5C2C0X5,A0A5C2C0X5,#165C38,Pseudomonadota,21,,,,,
Francisella_A0A5C2BYC4,A0A5C2BYC4,#165C38,Pseudomonadota,24,,,,,
Desulfomarina_A0A8D5FTP2,A0A8D5FTP2,#C58F12,Thermodesulfobacteriota,28,,,,,
Okeania_SIO1F9_A0A6B3PBB6,A0A6B3PBB6,#74C476,Cyanobacteriota,6,,,,,
Moorena_SIO4A1_A0A6B3MYR8,A0A6B3MYR8,#74C476,Cyanobacteriota,28,,,,,
cluster406_A0A414Q275,A0A414Q275,#747474,Fusobacteriota,22,,,,,
Vibrio_A0A7W2FPE8,A0A7W2FPE8,#165C38,Pseudomonadota,20,,,,,
cluster38_A0A1M3L7G3,A0A1M3L7G3,#88419D,Bacteroidota,23,,,,,
cluster369_A0A412TTM9,A0A412TTM9,#88419D,Bacteroidota,21,,,,,
cluster13_A0A1C7H271,A0A1C7H271,#88419D,Bacteroidota,24,,,,,
cluster54_A0A069S9I0,A0A069S9I0,#88419D,Bacteroidota,22,,,,,
cluster726_A0A942AQR8,A0A942AQR8,#88419D,Bacteroidota,23,,,,,
cluster362_A0A6N3FX58,A0A6N3FX58,#88419D,Bacteroidota,30,,,,,
cluster111_B5D243,B5D243,#88419D,Bacteroidota,25,,,,,
cluster365_R7PBA0,R7PBA0,#88419D,Bacteroidota,25,,,,,
cluster239_A0A414M9L3,A0A414M9L3,#88419D,Bacteroidota,40,,,,,
cluster23_A0A078S2R5,A0A078S2R5,#88419D,Bacteroidota,24,,,,,
cluster200_A0A1Y3VSR9,A0A1Y3VSR9,#88419D,Bacteroidota,25,,,,,
cluster424_A0A1Q6E5Z9,A0A1Q6E5Z9,#88419D,Bacteroidota,24,,,,,
cluster247_A0A3E4KT54,A0A3E4KT54,#88419D,Bacteroidota,24,,,,,
cluster18_A6LC91,A6LC91,#88419D,Bacteroidota,38,,,,,
cluster213_A0A0F5JPH2,A0A0F5JPH2,#88419D,Bacteroidota,24,,,,,
B1C4T2,B1C4T2,#EF392C,Bacillota,4,,,,,
Lysinibacillus_PVA_P12256,P12256,#EF392C,Bacillota,3,,,,,
cluster460_A7VQ44,A7VQ44,#EF392C,Bacillota,24,,,,,
cluster245_A0A096DGB7,A0A096DGB7,#EF392C,Bacillota,17,,,,,
Listeria_PVA_Q8Y9S7,Q8Y9S7,#EF392C,Bacillota,0,,,,,
cluster36_A0A0B8QU93,A0A0B8QU93,#EF392C,Bacillota,0,,,,,
cluster524_C0CIF5,C0CIF5,#EF392C,Bacillota,9,,,,,
cluster634_A0A173ZD58,A0A173ZD58,#EF392C,Bacillota,0,,,,,
cluster518_B0MC37,B0MC37,#EF392C,Bacillota,4,,,,,
cluster581_A0A6I3NAM9,A0A6I3NAM9,#EF392C,Bacillota,0,,,,,
cluster10_A0A096KTH7,A0A096KTH7,#A11202,Actinomycetota,0,,,,,
cluster5_A7A5K1,A7A5K1,#A11202,Actinomycetota,32,,,,,
cluster417_A0A1Y3TDY5,A0A1Y3TDY5,#EF392C,Bacillota,0,,,,,
cluster277_A0A1Q6PYZ4,A0A1Q6PYZ4,#EF392C,Bacillota,0,,,,,
cluster149_A0A0G8G768,A0A0G8G768,#EF392C,Bacillota,0,,,,,
cluster184_A0A1D2WV04,A0A1D2WV04,#0A303F,Methanobacteriota,0,,,,,
Listeria_BSH_A0A3Q0NGD6,A0A3Q0NGD6,#EF392C,Bacillota,0,,,,,
Listeria_BSH_Q8Y5J3,Q8Y5J3,#EF392C,Bacillota,0,,,,,
cluster383_A0A357TN00,A0A357TN00,#EF392C,Bacillota,0,,,,,
cluster569_A0A350THC0,A0A350THC0,#EF392C,Bacillota,0,,,,,
cluster586_A0A3D0HN78,A0A3D0HN78,#EF392C,Bacillota,0,,,,,
cluster557_A0A350RPF7,A0A350RPF7,#EF392C,Bacillota,0,,,,,
cluster391_A0A0D8IVP2,A0A0D8IVP2,#EF392C,Bacillota,0,,,,,
cluster169_A0A174Z2R4,A0A174Z2R4,#EF392C,Bacillota,0,,,,,
cluster582_A0A1Q6M5M7,A0A1Q6M5M7,#EF392C,Bacillota,0,,,,,
cluster564_A0A1Q6JXM9,A0A1Q6JXM9,#EF392C,Bacillota,0,,,,,
cluster168_A0A1C6A728,A0A1C6A728,#EF392C,Bacillota,0,,,,,
cluster119_A0A1C5LGL2,A0A1C5LGL2,#EF392C,Bacillota,0,,,,,
cluster387_A0A316LWP8,A0A316LWP8,#EF392C,Bacillota,0,,,,,
cluster314_A0A1C5MV31,A0A1C5MV31,#EF392C,Bacillota,0,,,,,
cluster830_A0A1C6FDU7,A0A1C6FDU7,#EF392C,Bacillota,0,,,,,
cluster177_A0A1C5QNJ0,A0A1C5QNJ0,#EF392C,Bacillota,0,,,,,
cluster178_A0A174ZD20,A0A174ZD20,#EF392C,Bacillota,0,,,,,
cluster44_A0A1C5PCN0,A0A1C5PCN0,#EF392C,Bacillota,0,,,,,
cluster255_A0A3R6IUG4,A0A3R6IUG4,#EF392C,Bacillota,0,,,,,
cluster427_A0A316R4M9,A0A316R4M9,#EF392C,Bacillota,0,,,,,
cluster86_A0A1C5V0T2,A0A1C5V0T2,#EF392C,Bacillota,0,,,,,
cluster40_A0A0M6WSM3,A0A0M6WSM3,#EF392C,Bacillota,0,,,,,
cluster8_A0A1C5S406,A0A1C5S406,#EF392C,Bacillota,24,,,,,
cluster526_A0A1C5X749,A0A1C5X749,#EF392C,Bacillota,0,,,,,
cluster560_A0A373HJM3,A0A373HJM3,#EF392C,Bacillota,0,,,,,
cluster225_A0A395WCM1,A0A395WCM1,#EF392C,Bacillota,0,,,,,
cluster791_A0A3E2XR62,A0A3E2XR62,#EF392C,Bacillota,0,,,,,
cluster265_A0A1Q6K9G3,A0A1Q6K9G3,#EF392C,Bacillota,0,,,,,
cluster392_A0A1C5M2J2,A0A1C5M2J2,#EF392C,Bacillota,0,,,,,
cluster98_A0A0M6WMX1,A0A0M6WMX1,#EF392C,Bacillota,0,,,,,
cluster103_A0A349QN89,A0A349QN89,#EF392C,Bacillota,5,,,,,
cluster546_A0A395V718,A0A395V718,#EF392C,Bacillota,0,,,,,
cluster56_A0A1C6E6X3,A0A1C6E6X3,#EF392C,Bacillota,0,,,,,
cluster398_A0A1C5MIH1,A0A1C5MIH1,#EF392C,Bacillota,0,,,,,
cluster64_A0A174DZA2,A0A174DZA2,#EF392C,Bacillota,0,,,,,
cluster257_A0A396KEZ6,A0A396KEZ6,#EF392C,Bacillota,0,,,,,
cluster129_C0ERS1,C0ERS1,#EF392C,Bacillota,11,,,,,
cluster218_A0A1C5L0B6,A0A1C5L0B6,#EF392C,Bacillota,0,,,,,
cluster264_A0A2V1JL81,A0A2V1JL81,#EF392C,Bacillota,0,,,,,
cluster6_U2D571,U2D571,#EF392C,Bacillota,3,,,,,
cluster422_A0A3D4LSP0,A0A3D4LSP0,#EF392C,Bacillota,0,,,,,
cluster308_A0A3E4LQA4,A0A3E4LQA4,#EF392C,Bacillota,0,,,,,
cluster144_A0A1C5VKY6,A0A1C5VKY6,#EF392C,Bacillota,0,,,,,
cluster537_B7AVX6,B7AVX6,#EF392C,Bacillota,10,,,,,
cluster266_A0A413RDG7,A0A413RDG7,#EF392C,Bacillota,0,,,,,
cluster145_A0A358VEZ8,A0A358VEZ8,#EF392C,Bacillota,0,,,,,
cluster256_A0A0M6WH75,A0A0M6WH75,#EF392C,Bacillota,0,,,,,
cluster47_A0A2T3FKY8,A0A2T3FKY8,#EF392C,Bacillota,0,,,,,
